Entry	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs	Gene Ontology (GO)	Function [CC]
F9UMS6	MLES_LACPL	Malolactic enzyme (MLE) (EC 4.1.1.101)	mleS lp_1118	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	547	GO:0004470; GO:0005829; GO:0016616; GO:0016831; GO:0030145; GO:0043464; GO:0043883; GO:0051287	cytosol [GO:0005829]; carboxy-lyase activity [GO:0016831]; malic enzyme activity [GO:0004470]; malolactic enzyme activity [GO:0043883]; manganese ion binding [GO:0030145]; NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; L-malate catabolic process [GO:0043464]	FUNCTION: Involved in the malolactic fermentation (MLF) of wine, which results in a natural decrease in acidity and favorable changes in wine flavors. Catalyzes the decarboxylation of L-malate to L-lactate. {ECO:0000269|PubMed:6833282}.
F9USS9	LARA_LACPL	Lactate racemase (Lar) (EC 5.1.2.1) (Lactate racemization operon protein LarA)	larA lp_0104	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	424	GO:0050043	lactate racemase activity [GO:0050043]	FUNCTION: Catalyzes the interconversion between the D- and L-isomers of lactate (PubMed:24710389, PubMed:26138974). May act as a rescue enzyme to ensure D-lactate production in physiological conditions where its production by the D-lactate dehydrogenase LdhD is not sufficient (PubMed:16166538). D-Lactate is absolutely required for growth of L.plantarum and is an essential component of the cell wall peptidoglycan in this species, where it is incorporated as the last residue of the muramoyl-pentadepsipeptide peptidoglycan precursor; its incorporation confers high level of vancomycin resistance (PubMed:16166538). {ECO:0000269|PubMed:16166538, ECO:0000269|PubMed:24710389, ECO:0000269|PubMed:26138974}.
F9UST4	LARE_LACPL	Pyridinium-3,5-bisthiocarboxylic acid mononucleotide synthase (EC 4.4.1.37) (Lactate racemase accessory protein LarE) (Lactate racemase activation protein LarE) (Lactate racemase maturation protein LarE) (Lactate racemization operon protein LarE) (Nickel-pincer cofactor biosynthesis protein LarE) (Pyridinium-3,5-biscarboxylic acid mononucleotide sulfurtransferase) (P2CMN sulfurtransferase)	larE lp_0109	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	276	GO:0006163; GO:0016783	sulfurtransferase activity [GO:0016783]; purine nucleotide metabolic process [GO:0006163]	FUNCTION: Involved in the biosynthesis of a nickel-pincer cofactor ((SCS)Ni(II) pincer complex). Catalyzes the ATP-dependent incorporation of two sulfur atoms in pyridinium-3,5-biscarboxylic acid mononucleotide (P2CMN) to yield pyridinium-3,5-bisthiocarboxylic acid mononucleotide (P2TMN). The source of sulfur is the enzyme itself: Cys-176 of LarE is the sulfur donor, thereby being converted into dehydroalanine, and is not regenerated in vivo. Thus, two molecules of LarE undergo sacrificial sulfur transfer to create one P2TMN (PubMed:27114550). Binds nickel (PubMed:24710389). Is required for the activation of the lactate racemase LarA (PubMed:24710389). May also be involved in the activation of other nickel-pincer cofactor-dependent enzymes (PubMed:27114550). {ECO:0000269|PubMed:24710389, ECO:0000269|PubMed:27114550}.
G9MAP1	CLAHY_LACPN	Linoleate hydratase (EC 4.2.1.-) (CLA biosynthesis hydratase) (CLA-HY) (Fatty acid double bond hydratase/dehydratase) (Linoleic acid Delta9 hydratase)	cla-hy	Lactiplantibacillus plantarum (Lactobacillus plantarum)	569	GO:0005737; GO:0005886; GO:0006631; GO:0050151; GO:0071949	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; FAD binding [GO:0071949]; oleate hydratase activity [GO:0050151]; fatty acid metabolic process [GO:0006631]	FUNCTION: Is involved in a saturation metabolic pathway of polyunsaturated fatty acids, that detoxifies unsaturated fatty acids and generates hydroxy fatty acids, oxo fatty acids, conjugated fatty acids such as conjugated linoleic acids (CLAs), and partially saturated trans-fatty acids as intermediates. CLA-HY catalyzes the hydration and dehydration steps in the production of 10-hydroxy-cis-12-octadecenoate, trans-10,cis-12-CLA, cis-9,trans-11-CLA, trans-9,trans-11-CLA, oleate and trans-10-octadecenoate during linoleate metabolism (PubMed:22093837, PubMed:24127592, PubMed:25476761). Is also able to hydrate palmitoleic acid (cis-9-hexadecenoic acid), oleic acid, alpha-linolenic acid, gamma-linolenic acid, and stearidonic acid into the corresponding 10-hydroxy fatty acids, and dehydrate 10-hydroxy-cis-12,cis-15-octadecadienoic acid, 10-hydroxy-cis-6,cis-12-octadecadienoic acid, and 10-hydroxyoctadecanoic acid into the corresponding fatty acids with cis double bonds at the Delta9 position (PubMed:25476761). As part of the gut microbiome, this enzyme modifies host fatty acid composition and is expected to improve human health by altering lipid metabolism related to the onset of metabolic syndrome (PubMed:24127592). Shows regioselectivity for Delta9 double bond hydration, generating C10 hydroxy groups in the (S)-configuration with high enantioselectivity, when another double bond is in position 12. Is not able to hydrate fatty acids with a trans carbon-carbon double bond at Delta9 position (elaidic acid, trans-9-octadecenoic acid), fatty acid esters (methyl linoleate, monolinolein, dilinolein, and trilinolein), and conjugated fatty acids (conjugated linoleic acids), as well as fatty acids with other chain lengths, such as myristoleic acid (cis-9-tetradecenoic acid), arachidonic acid (cis-5,cis-8,cis-11,cis-14-eicosatetraenoic acid), EPA (cis-5,cis-8,cis-11,cis-14,cis-17-eicosapentaenoic acid), DHA (cis-4,cis-7,cis-10,cis-13,cis-16,cis-19-docosahexaenoic acid) and fatty acids with a cis carbon-carbon double bond at Delta11 position, such as cis-vaccenic acid and cis-11-octadecenoic acid, or fatty alcohols, such as linoleyl alcohol. Is not able to dehydrate 12-hydroxy, 3-hydroxy, and 9-hydroxy fatty acids (PubMed:25476761). {ECO:0000269|PubMed:22093837, ECO:0000269|PubMed:24127592, ECO:0000269|PubMed:25476761}.
P37063	POXB_LACPL	Pyruvate oxidase (EC 1.2.3.3) (Pyruvic oxidase) (POX)	pox5 lp_3589	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	603	GO:0000287; GO:0030976; GO:0047112	magnesium ion binding [GO:0000287]; pyruvate oxidase activity [GO:0047112]; thiamine pyrophosphate binding [GO:0030976]	FUNCTION: Catalyzes the oxidative decarboxylation of pyruvate in four steps (PubMed:10978159, PubMed:15794646, PubMed:16680160, PubMed:8145244, PubMed:9582325). In the first step, pyruvate attacks the C-2 atom of thiamine diphosphate (ThDP), releases carbon dioxide, and forms a 2-hydroxyethyl-ThDP (HEThDP) intermediate (PubMed:10978159, PubMed:16680160, PubMed:8145244, PubMed:9582325). The HEThDP intermediate formed is then oxidized by FAD in the second step (PubMed:10978159, PubMed:16680160, PubMed:8145244). In the third step, FAD is regenerated by oxygen to yield peroxide (PubMed:10978159, PubMed:16680160, PubMed:8145244). Lastly, ThDP is regenerated by the attack of inorganic phosphate, which recovers the metabolic free energy in the form of acetylphosphate (PubMed:10978159, PubMed:16680160, PubMed:8145244). In the absence of phosphate, the intermediate is oxidized to 2-acetyl-ThDP, which slowly hydrolyzes to ThDP and acetic acid (PubMed:10978159, PubMed:16680160). Important for aerobic growth (Probable). {ECO:0000269|PubMed:10978159, ECO:0000269|PubMed:15794646, ECO:0000269|PubMed:16680160, ECO:0000269|PubMed:8145244, ECO:0000269|PubMed:9582325, ECO:0000305}.
P56511	LDH_LACPE	L-lactate dehydrogenase (L-LDH) (EC 1.1.1.27)	ldh ldhL	Lactiplantibacillus pentosus (Lactobacillus pentosus)	320	GO:0004459; GO:0005737; GO:0006089; GO:0006096	cytoplasm [GO:0005737]; L-lactate dehydrogenase (NAD+) activity [GO:0004459]; glycolytic process [GO:0006096]; lactate metabolic process [GO:0006089]	FUNCTION: Catalyzes the conversion of lactate to pyruvate. {ECO:0000255|HAMAP-Rule:MF_00488, ECO:0000269|PubMed:1425707}.
Q06115	CBH_LACPL	Bile salt hydrolase/transferase (BSH/T) (Bile acid amine N-acyltransferase) (EC 2.3.1.-) (Bile salt hydrolase) (BSH) (Choloylglycine hydrolase) (EC 3.5.1.24) (Conjugated bile acid hydrolase) (EC 3.5.1.-)	cbh bsh lp_3536	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	324	GO:0006699; GO:0045302; GO:0047742; GO:7770003	amino acid conjugated cholate hydrolase activity [GO:7770003]; chenodeoxycholoyltaurine hydrolase activity [GO:0047742]; choloylglycine hydrolase activity [GO:0045302]; bile acid biosynthetic process [GO:0006699]	FUNCTION: Possesses dual functions in bile acid metabolism (By similarity). Acts as a bile salt hydrolase that catalyzes the deconjugation of glycine- and taurine-linked bile salts, which occurs naturally in the intestines of animals, releasing amino acid residues and deconjugated bile salts (bile acids). Can hydrolyze the amide bond in the bile salts glycocholate (GCA), glycodeoxycholate (GDCA), glycochenodeoxycholate (GCDCA), taurocholate (TCA), taurodeoxycholate (TDCA) and taurochenodeoxycholate (TCDCA). Shows a preference for glycine-conjugated bile acids as substrates (PubMed:1476424). Also acts as an amine N-acyltransferase that conjugates a wide variety of amino acids to conjugated and non-conjugated bile acids, thus producing bacterial bile acid amidates (BBAAs) - also named microbially conjugated bile acids (MCBAs) - in the gastrointestinal tract (By similarity). These BBAAs may facilitate communication between the microbiota and host through the activation of host ligand-activated transcription factors (By similarity). {ECO:0000250|UniProtKB:P0DXD2, ECO:0000250|UniProtKB:P54965, ECO:0000269|PubMed:1476424}.
Q88YH3	ENO1_LACPL	Enolase 1 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase 1) (2-phosphoglycerate dehydratase 1)	eno1 enoA enoA1 lp_0792	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	442	GO:0000015; GO:0000287; GO:0001968; GO:0004634; GO:0005576; GO:0006096; GO:0009986	cell surface [GO:0009986]; extracellular region [GO:0005576]; phosphopyruvate hydratase complex [GO:0000015]; fibronectin binding [GO:0001968]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]	FUNCTION: Catalyzes the reversible conversion of 2-phosphoglycerate (2-PG) into phosphoenolpyruvate (PEP). It is essential for the degradation of carbohydrates via glycolysis. {ECO:0000255|HAMAP-Rule:MF_00318}.; FUNCTION: 'Moonlights' as a collagen receptor. Binds host (human) collagen, which may contribute to pathogenicity (PubMed:25721875). {ECO:0000269|PubMed:25721875}.
A0A098R514	A0A098R514_9LACO	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	murE_1 murE LPPLD21_01591	Lactiplantibacillus paraplantarum	493	GO:0000287; GO:0005524; GO:0005737; GO:0008360; GO:0008765; GO:0009252; GO:0051301	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity [GO:0008765]; cell division [GO:0051301]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	FUNCTION: Catalyzes the addition of meso-diaminopimelic acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan. {ECO:0000256|ARBA:ARBA00056782, ECO:0000256|HAMAP-Rule:MF_00208}.
A0A098R6C8	A0A098R6C8_9LACO	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	pfkA LPPLD21_00399	Lactiplantibacillus paraplantarum	320	GO:0003872; GO:0005524; GO:0005945; GO:0006002; GO:0016208; GO:0030388; GO:0042802; GO:0048029; GO:0061621; GO:0070095	6-phosphofructokinase complex [GO:0005945]; 6-phosphofructokinase activity [GO:0003872]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; fructose-6-phosphate binding [GO:0070095]; identical protein binding [GO:0042802]; monosaccharide binding [GO:0048029]; canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]	FUNCTION: Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis. {ECO:0000256|ARBA:ARBA00002659, ECO:0000256|HAMAP-Rule:MF_00339}.
