Entry	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs	Gene Ontology (GO)
A0A0F5HNH9	IMEF_BACTR	Ferritin-like protein (EC 1.16.3.1) (IMEF cargo protein)	IMEF QY95_01593	Bacillus thermotolerans (Quasibacillus thermotolerans)	192	GO:0004322; GO:0140315; GO:0140737	encapsulin nanocompartment [GO:0140737]; ferroxidase activity [GO:0004322]; iron ion sequestering activity [GO:0140315]
A0A4Y1WBN6	YYCJ_BACAN	Exodeoxyribonuclease YycJ (EC 3.1.11.-)	yycJ GBAA_5711	Bacillus anthracis	264	GO:0004527	exonuclease activity [GO:0004527]
B9J3S4	COLQ1_BACCQ	Collagenase ColQ1 (EC 3.4.24.3) (Microbial collagenase)	colQ1 colA BCQ_0620	Bacillus cereus (strain Q1)	965	GO:0004222; GO:0005509; GO:0005518; GO:0005576; GO:0006508; GO:0008270; GO:0032963; GO:0034701	extracellular region [GO:0005576]; calcium ion binding [GO:0005509]; collagen binding [GO:0005518]; metalloendopeptidase activity [GO:0004222]; tripeptidase activity [GO:0034701]; zinc ion binding [GO:0008270]; collagen metabolic process [GO:0032963]; proteolysis [GO:0006508]
C0SP85	YUKE_BACSU	Protein YukE	yukE BSU31910	Bacillus subtilis (strain 168)	97	GO:0005576	extracellular region [GO:0005576]
C0SPC1	CCRZ_BACSU	Cell cycle regulator CcrZ (EC 2.7.1.15) (EC 2.7.1.229) (Cell cycle regulator protein interacting with FtsZ)	ccrZ ytmP BSU29920	Bacillus subtilis (strain 168)	269	GO:0004747; GO:0005524; GO:0005737; GO:0006270; GO:0006974; GO:0016301; GO:0016773; GO:0019200	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; carbohydrate kinase activity [GO:0019200]; kinase activity [GO:0016301]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]; ribokinase activity [GO:0004747]; DNA damage response [GO:0006974]; DNA replication initiation [GO:0006270]
D3VML5	PZNA_BACVZ	Plantazolicin (PZN) (Plantazolicin A) (Plantazolicin B) (cpd1335)	pznA ptnA RBAM_007445	Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / LMG 26770 / FZB42) (Bacillus amyloliquefaciens subsp. plantarum)	41	GO:0001897; GO:0005576; GO:0009275; GO:0050830	extracellular region [GO:0005576]; Gram-positive-bacterium-type cell wall [GO:0009275]; defense response to Gram-positive bacterium [GO:0050830]; symbiont-mediated cytolysis of host cell [GO:0001897]
D5TM67	CDAS_BACT1	Diadenylate cyclase CdaS (DAC) (EC 2.7.7.85) (Cyclic-di-AMP synthase) (c-di-AMP synthase)	cdaS dacB BMB171_C4535	Bacillus thuringiensis (strain BMB171)	201	GO:0004016; GO:0005524; GO:0006171; GO:0106408	adenylate cyclase activity [GO:0004016]; ATP binding [GO:0005524]; diadenylate cyclase activity [GO:0106408]; cAMP biosynthetic process [GO:0006171]
J8G6Z1	THSA_BACCS	NAD(+) hydrolase ThsA (BcThsA) (NADase ThsA) (EC 3.2.2.5) (Thoeris protein ThsA)	thsA II9_05448	Bacillus cereus (strain MSX-D12)	476	GO:0003953; GO:0005737	cytoplasm [GO:0005737]; NAD+ nucleosidase activity [GO:0003953]
J8H9C1	GAJA_BACC6	Endonuclease GajA (EC 3.1.-.-) (Gabija protein GajA) (Nicking endonuclease GajA)	gajA IIE_04982	Bacillus cereus (strain VD045)	578		
O05512	MANB_BACSU	Mannan endo-1,4-beta-mannosidase (EC 3.2.1.78) (1,4-beta-D-mannan mannanohydrolase) (Beta-mannanase) (Glucomannan utilization protein G)	gmuG ydhT BSU05880	Bacillus subtilis (strain 168)	362	GO:0005576; GO:0006080; GO:0016985	extracellular region [GO:0005576]; mannan endo-1,4-beta-mannosidase activity [GO:0016985]; substituted mannan metabolic process [GO:0006080]
